time,state,reason,has_wall,obs_front,quality,wall_dist,wall_yaw(rad),front_min,left_min,mem_dist,mem_yaw,mem_age,corner_state,corner_has,corner_dist,odom_x,odom_y,odom_yaw,vis_score_ahead,vx_cmd,vy_cmd,w_cmd,vx_limited,vy_limited,w_limited,soft_gate
1756472044.8789904,ALIGN,ALIGNING,1,0,1031.3,1.18990957736969,0.8131558299064636,nan,0.6570000052452087,1.18990957736969,0.8131558299064636,0.10100698471069336,C_IDLE,1,3.366698904278889,nan,nan,nan,nan,0.05,0.25,-0.5,0.05,0.22,-0.5,1.0
1756472044.9802258,ALIGN,ALIGNING,1,0,1031.3,1.18990957736969,0.8131558299064636,nan,0.6570000052452087,1.18990957736969,0.8131558299064636,0.1011345386505127,C_IDLE,1,3.366698904278889,nan,nan,nan,nan,0.05,0.25,-0.5,0.05,0.22,-0.5,1.0
1756472045.081487,ALIGN,ALIGNING,1,0,1031.3,1.18990957736969,0.8131558299064636,nan,0.6570000052452087,1.18990957736969,0.8131558299064636,0.10115814208984375,C_IDLE,1,3.366698904278889,nan,nan,nan,nan,0.05,0.25,-0.5,0.05,0.22,-0.5,1.0
1756472045.1827745,ALIGN,ALIGNING,1,0,1031.3,1.18990957736969,0.8131558299064636,nan,0.6570000052452087,1.18990957736969,0.8131558299064636,0.10118699073791504,C_IDLE,1,3.366698904278889,nan,nan,nan,nan,0.05,0.25,-0.5,0.05,0.22,-0.5,1.0
1756472045.2842896,ALIGN,ALIGNING,1,0,1031.3,1.18990957736969,0.8131558299064636,nan,0.6570000052452087,1.18990957736969,0.8131558299064636,0.10141134262084961,C_IDLE,1,3.366698904278889,nan,nan,nan,nan,0.05,0.25,-0.5,0.05,0.22,-0.5,1.0
1756472045.3852499,ALIGN,ALIGNING,1,0,1031.3,1.18990957736969,0.8131558299064636,nan,0.6570000052452087,1.18990957736969,0.8131558299064636,0.1008608341217041,C_IDLE,1,3.366698904278889,nan,nan,nan,nan,0.05,0.25,-0.5,0.05,0.22,-0.5,1.0
1756472045.4865332,ALIGN,ALIGNING,1,0,1031.3,1.18990957736969,0.8131558299064636,nan,0.6570000052452087,1.18990957736969,0.8131558299064636,0.1011817455291748,C_IDLE,1,3.366698904278889,nan,nan,nan,nan,0.05,0.25,-0.5,0.05,0.22,-0.5,1.0
1756472045.5879555,ALIGN,ALIGNING,1,0,1031.3,1.18990957736969,0.8131558299064636,nan,0.6570000052452087,1.18990957736969,0.8131558299064636,0.10132217407226562,C_IDLE,1,3.366698904278889,nan,nan,nan,nan,0.05,0.25,-0.5,0.05,0.22,-0.5,1.0
1756472045.6895385,ALIGN,ALIGNING,1,0,1031.3,1.18990957736969,0.8131558299064636,nan,0.6570000052452087,1.18990957736969,0.8131558299064636,0.10148072242736816,C_IDLE,1,3.366698904278889,nan,nan,nan,nan,0.05,0.25,-0.5,0.05,0.22,-0.5,1.0
1756472045.7905967,ALIGN,ALIGNING,1,0,1031.3,1.18990957736969,0.8131558299064636,nan,0.6570000052452087,1.18990957736969,0.8131558299064636,0.10095977783203125,C_IDLE,1,3.366698904278889,nan,nan,nan,nan,0.05,0.25,-0.5,0.05,0.22,-0.5,1.0
1756472045.8916042,ALIGN,ALIGNING,1,0,1031.3,1.18990957736969,0.8131558299064636,nan,0.6570000052452087,1.18990957736969,0.8131558299064636,0.10089826583862305,C_IDLE,1,3.366698904278889,nan,nan,nan,nan,0.05,0.25,-0.5,0.05,0.22,-0.5,1.0
1756472045.992779,ALIGN,ALIGNING,1,0,1031.3,1.18990957736969,0.8131558299064636,nan,0.6570000052452087,1.18990957736969,0.8131558299064636,0.10107159614562988,C_IDLE,1,3.366698904278889,nan,nan,nan,nan,0.05,0.25,-0.5,0.05,0.22,-0.5,1.0
1756472046.0939949,ALIGN,ALIGNING,1,0,1031.3,1.18990957736969,0.8131558299064636,nan,0.6570000052452087,1.18990957736969,0.8131558299064636,0.10111188888549805,C_IDLE,1,3.366698904278889,nan,nan,nan,nan,0.05,0.25,-0.5,0.05,0.22,-0.5,1.0
1756472046.1951957,ALIGN,ALIGNING,1,0,1031.3,1.18990957736969,0.8131558299064636,nan,0.6570000052452087,1.18990957736969,0.8131558299064636,0.10109829902648926,C_IDLE,1,3.366698904278889,nan,nan,nan,nan,0.05,0.25,-0.5,0.05,0.22,-0.5,1.0
1756472046.2963903,ALIGN,ALIGNING,1,0,1031.3,1.18990957736969,0.8131558299064636,nan,0.6570000052452087,1.18990957736969,0.8131558299064636,0.10109210014343262,C_IDLE,1,3.366698904278889,nan,nan,nan,nan,0.05,0.25,-0.5,0.05,0.22,-0.5,1.0
1756472046.3974333,ALIGN,ALIGNING,1,0,1031.3,1.18990957736969,0.8131558299064636,nan,0.6570000052452087,1.18990957736969,0.8131558299064636,0.10094165802001953,C_IDLE,1,3.366698904278889,nan,nan,nan,nan,0.05,0.25,-0.5,0.05,0.22,-0.5,1.0
1756472046.4991162,ALIGN,ALIGNING,1,0,1031.3,1.18990957736969,0.8131558299064636,nan,0.6570000052452087,1.18990957736969,0.8131558299064636,0.1015770435333252,C_IDLE,1,3.366698904278889,nan,nan,nan,nan,0.05,0.25,-0.5,0.05,0.22,-0.5,1.0
1756472046.6001666,ALIGN,ALIGNING,1,0,1031.3,1.18990957736969,0.8131558299064636,nan,0.6570000052452087,1.18990957736969,0.8131558299064636,0.10094785690307617,C_IDLE,1,3.366698904278889,nan,nan,nan,nan,0.05,0.25,-0.5,0.05,0.22,-0.5,1.0
1756472046.7015815,ALIGN,ALIGNING,1,0,1031.3,1.18990957736969,0.8131558299064636,nan,0.6570000052452087,1.18990957736969,0.8131558299064636,0.10131311416625977,C_IDLE,1,3.366698904278889,nan,nan,nan,nan,0.05,0.25,-0.5,0.05,0.22,-0.5,1.0
1756472046.802891,ALIGN,ALIGNING,1,0,1031.3,1.18990957736969,0.8131558299064636,nan,0.6570000052452087,1.18990957736969,0.8131558299064636,0.10120677947998047,C_IDLE,1,3.366698904278889,nan,nan,nan,nan,0.05,0.25,-0.5,0.05,0.22,-0.5,1.0
1756472046.9041338,ALIGN,ALIGNING,1,0,1031.3,1.18990957736969,0.8131558299064636,nan,0.6570000052452087,1.18990957736969,0.8131558299064636,0.10113859176635742,C_IDLE,1,3.366698904278889,nan,nan,nan,nan,0.05,0.25,-0.5,0.05,0.22,-0.5,1.0
1756472047.005292,ALIGN,ALIGNING,1,0,1031.3,1.18990957736969,0.8131558299064636,nan,0.6570000052452087,1.18990957736969,0.8131558299064636,0.10104727745056152,C_IDLE,1,3.366698904278889,nan,nan,nan,nan,0.05,0.25,-0.5,0.05,0.22,-0.5,1.0
1756472047.1065662,ALIGN,ALIGNING,1,0,1031.3,1.18990957736969,0.8131558299064636,nan,0.6570000052452087,1.18990957736969,0.8131558299064636,0.10116863250732422,C_IDLE,1,3.366698904278889,nan,nan,nan,nan,0.05,0.25,-0.5,0.05,0.22,-0.5,1.0
1756472047.207525,ALIGN,ALIGNING,1,0,1031.3,1.18990957736969,0.8131558299064636,nan,0.6570000052452087,1.18990957736969,0.8131558299064636,0.10085487365722656,C_IDLE,1,3.366698904278889,nan,nan,nan,nan,0.05,0.25,-0.5,0.05,0.22,-0.5,1.0
1756472047.3086777,ALIGN,ALIGNING,1,0,1031.3,1.18990957736969,0.8131558299064636,nan,0.6570000052452087,1.18990957736969,0.8131558299064636,0.10098743438720703,C_IDLE,1,3.366698904278889,nan,nan,nan,nan,0.05,0.25,-0.5,0.05,0.22,-0.5,1.0
